AX,AY,AZ,GX,GY,GZ,Output
-0.058044434,1.9989777,11.165207,0.97068787,-0.07891846,-0.21556091,1
-0.7092743,2.003769,8.955353,0.93766785,-0.07891846,-0.1910553,1
-1.8106079,2.439499,8.012039,0.76828,-0.75323486,-0.048309326,1
-1.7914581,2.724411,8.6082,0.6234131,-1.2485809,0.06034851,1
-1.0037537,2.961441,9.891495,0.48492432,-1.5074463,0.15515137,1
-0.3764801,2.9542542,10.442154,0.39544678,-1.4637604,0.17007446,1
0.44233704,2.8441315,11.241821,0.2527008,-1.2379303,0.17007446,1
1.2659454,3.0260925,11.976837,0.21008301,-1.0376587,0.16687012,1
1.8597107,3.3899994,12.3647,0.20263672,-0.78518677,0.14237976,1
2.300232,3.4857788,12.28569,0.2015686,-0.44537354,0.07846069,1
2.3768463,3.447464,11.703903,0.20368958,-0.19078064,0.009216309,1
2.051239,3.337326,10.868332,0.18664551,0.057434082,-0.106903076,1
1.1007385,3.0117188,10.138092,0.16748047,0.13412476,-0.20277405,1
0.2819214,2.8321533,9.664047,0.17706299,0.085128784,-0.20703125,1
-0.0029907227,2.8632812,9.443771,0.17066956,0.046783447,-0.1910553,1
0.5404968,2.7028656,8.031189,0.13871765,-0.14602661,-0.13139343,1
2.15419,2.6382294,8.249069,0.11846924,-0.773468,-0.28053284,1
1.8453369,3.1457977,9.127747,0.20368958,-0.914093,-0.47761536,1
1.5939484,3.1769257,8.885925,0.2761383,-0.94711304,-0.60757446,1
1.3138275,3.4043732,9.225906,0.36242676,-1.0227509,-0.64912415,1
1.4000244,3.629425,9.446167,0.44444275,-1.1005096,-0.62461853,1
1.32341,3.605484,9.5898285,0.49238586,-1.1878662,-0.5990448,1
1.2707367,3.416336,9.671219,0.49983215,-1.2059784,-0.5713501,1
1.4239655,3.028473,9.687988,0.45829773,-1.0834656,-0.53619385,1
1.407196,2.743576,9.721497,0.40821838,-0.914093,-0.5031738,1
1.5149384,2.537674,9.616165,0.3272705,-0.6360626,-0.4509735,1
1.5340881,2.5496368,9.240265,0.21115112,-0.23231506,-0.38705444,1
1.4742432,2.6430206,9.268997,0.024734497,0.39512634,-0.29971313,1
1.3521271,2.7627258,8.660873,-0.028533936,0.5549164,-0.25602722,1
1.1151123,3.0069275,8.361603,-0.071136475,0.6880646,-0.1953125,1
0.7823181,3.1386108,7.983307,-0.09031677,0.7541199,-0.095184326,1
0.5237427,3.526474,7.6170044,-0.11907959,0.56663513,-0.04084778,1
0.35853577,3.8137817,7.727127,-0.094573975,0.38659668,-0.017410278,1
0.21009827,4.019684,7.916275,-0.05303955,0.19911194,0.016677856,1
0.5237427,4.012497,7.990494,-0.028533936,0.07234192,0.028396606,1
0.77033997,3.854477,7.806137,-0.018951416,-0.08956909,0.009216309,1
0.952301,3.7539215,7.679245,-0.087127686,-0.16201782,-0.015289307,1
1.0648346,3.7180176,7.794174,-0.15956116,-0.14283752,-0.025939941,1
1.32341,3.5456238,7.9617615,-0.2692871,-0.0544281,-0.032333374,1
1.517334,3.3469086,7.79657,-0.41203308,-0.021392822,-0.04298401,1
1.2731323,3.320572,7.923462,-0.5505066,-0.09489441,-0.09197998,1
0.6602173,3.4594421,8.069504,-0.7017822,-0.19610596,-0.1356659,1
0.5476837,3.7347717,8.809311,-0.86901855,-0.20462036,-0.116485596,1
1.0935669,4.017288,9.158859,-0.95957947,-0.07359314,-0.09837341,1
1.0121613,4.048416,10.241043,-1.0714264,0.2193451,-0.060028076,1
1.2324219,3.6557617,11.220276,-1.0607758,0.37487793,-0.020614624,1
1.3808594,3.131424,12.113312,-0.9467926,0.5122986,-0.032333374,1
1.1151123,2.8130035,12.376678,-0.8072357,0.6369324,-0.048309326,1
1.1582031,2.9758148,12.367096,-0.5451813,0.8393402,-0.08239746,1
1.2970734,3.258316,11.663193,-0.348114,0.97462463,-0.116485596,1
1.2444,3.794632,10.91861,-0.23092651,1.1035156,-0.15164185,1
0.97384644,4.2878265,9.788544,-0.22241211,1.1695709,-0.20916748,1
0.5548706,4.146576,9.573059,-0.27140808,1.0854187,-0.26242065,1
-0.27592468,3.5073242,10.152466,-0.25543213,0.9075165,-0.25709534,1
-1.1450195,2.8656769,11.093384,-0.092453,0.77648926,-0.13352966,1
-1.1138916,2.5783691,10.887482,0.20475769,0.5623627,0.041168213,1
-1.2838745,2.5783691,10.451736,0.5296631,0.07447815,0.1572876,1
-1.1282654,2.6047058,9.819672,0.7565613,-0.44111633,0.20523071,1
-0.32141113,2.7363892,9.324066,0.7906494,-0.84484863,0.21800232,1
0.6434479,2.9398956,9.546722,0.6500397,-1.009964,0.20628357,1
1.6442261,2.9375,10.830017,0.44657898,-0.8373871,0.17114258,1
1.8956146,2.9758148,11.665588,0.30490112,-0.5124817,0.12213135,1
0.9211731,3.2080383,12.62088,0.0801239,0.11708069,0.017745972,1
0.4543152,3.6150665,13.0733795,-0.02746582,0.5229492,-0.06854248,1
-0.759552,2.8944092,12.446106,-0.071136475,0.788208,-0.14099121,1
-0.5751953,3.2391663,10.990433,-0.118011475,0.7594452,-0.093048096,1
